Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA, Application Number(1), Application Number(2), Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes
Cuprid,trientine hydrochloride,Merck Sharp & Dohme,NDA,19194,,,Capsule,Oral,,,,,1/6/1984,11/8/1985,1985,treatment of patients with Wilson's disease who are intolerant of penicillamine,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Femstat,butoconazole nitrate,Syntex,NDA,19215,,,Cream,Vaginal,,,,,1/23/1984,11/25/1985,1985,indicated for local treatment of vulvovaginal mycotic infections caused by Candida species,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Primaxin,"cilastatin sodium, imipenem",Merck Sharp & Dohme,NDA,50587,,,Powder,Intravenous,,,,,5/3/1984,11/26/1985,1985,"treatment of patients with the following infections caused by susceptible strains of designated microorganisms in: lower respiratory tract infections, urinary tract infections, intra-abdominal infections, gynecological infections, bacterial septicemia, bone and joint infections, skin and skin structure infections, endocarditis, polymicrobic infections",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Betagan,levobunolol hydrochloride,Allergan,NDA,19219,,,Solution/Drops,Ophthalmic,,,,,1/19/1984,12/19/1985,1985,has been shown to be effective in lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma or ocular hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Versed,midazolam hydrochloride,Hoffmann-La Roche,NDA,18654,,,Injectable,Injection,,,,,12/15/1982,12/20/1985,1985,"intramuscularly: for preoperative sedation and to impair memory of peri-operative events;  intravenously: as an agent for conscious sedation prior to short diagnostic or endoscopic procedures either alone or with a narcotic; intravenously: for induction of general anesthesia, before administration of other anesthetic agents",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Suprol,suprofen,Ortho,NDA,18217,,,Capsule,Oral,,,,,10/23/1978,12/24/1985,1985,relief of mild to moderate pain; treatment of primary dysmenorrhea,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
[drug marketed without a proprietary name],indium In 111 oxyquinoline,Amersham,NDA,19044,,,Injectable,Injection,,,,,12/5/1983,12/24/1985,1985,"indicated for radiolabeling autologous leukocytes as an adjunct in the detection of inflammatory processes to which leukocytes migrate, such as those associated with abscesses or other infection, following reinjection and detection by appropriate imaging procedures",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cordarone,amiodarone hydrochloride,Ives,NDA,18972,,,Tablet,Oral,,,,,3/14/1983,12/24/1985,1985,"indicated for the treatment of the following documented, life-threatening recurrent ventricular arrhythmias: recurrent ventricular fibrillation or recurrent hemodynamically unstable ventricular tachycardia, when these have not responded to documented aggregate doses of other available antiarrhythmics or when alternative agents could not be tolerated",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Vasotec,enalapril maleate,Merck Sharp & Dohme,NDA,18998,,,Tablet,Oral,,,,,9/16/1983,12/24/1985,1985,treatment of hypertension,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cesamet,nabilone,Eli Lilly,NDA,18677,,,Capsule,Oral,,,,,2/17/1982,12/26/1985,1985,for use in the treatment of nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Omnipaque,iohexol,Sterling,NDA,18956,,,Solution,"Injection, Oral, Rectal",,,,,3/1/1983,12/26/1985,1985,"indicated for intrathecal administration including angiocardiography, cerebral and peripheral arteriography, digital subtraction angiography, urography, phlebography and lumbar myelography",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Temovate,clobetasol propionate,Glaxo,NDA,19322,19323,,Cream,Topical,Ointment,Topical,,,8/30/1984,12/27/1985,1985,short term treatment of inflammatory and pruritic manifestations of moderate to severe corticosteroid-responsive dermatoses,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cefotan,cefotetan disodium,Stuart,NDA,50588,,,Injectable,Injection,,,,,1/20/1984,12/27/1985,1985,"indicated for the treatment of the following infections when caused by susceptible strains of designated organisms: urinary tract infections, lower respiratory infections, skin and skin structure infections; gynecologic infections, intra-abdominal infections, bone and joint infections",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Dormalin,quazepam,Schering,NDA,18708,,,Tablet,Oral,,,,,4/9/1982,12/27/1985,1985,"treatment of insomnia characterized by difficulty in falling asleep, frequent nocturnal awakenings and/or early morning awakenings",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Carnitor,L-carnitine,Sigma-Tau,NDA,18948,,,Tablet,Oral,,,,,2/8/1983,12/27/1985,1985,treatment of primary systemic carnitine deficiency,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Mexitil,mexiletine hydrochloride,Boehringer Ingelheim Pharmaceuticals,NDA,18873,,,Capsule,Oral,,,,,10/1/1982,12/30/1985,1985,"for the suppression of symptomatic ventricular arrhythmias, including frequent premature ventricular contractions, unifocal or multifocal, couplets and ventricular tachycardia",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Wellbutrin,bupropion hydrochloride,Burroughs Wellcome,NDA,18644,,,Tablet,Oral,,,,,12/23/1981,12/30/1985,1985,"treatment of depression in patients who fail to respond adequately to, or who cannot tolerate, alternative antidepressant treatments",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Virazole,ribavirin,Viratek,NDA,18859,,,For Solution,Inhalation,,,,,9/21/1982,12/31/1985,1985,indicated in the treatment of carefully selected hospitalized infants and young children with severe lower respiratory tract infections due to respiratory syncytial virus (RSV),,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Isovue,iopamidol,Squibb,NDA,18735,,,Injectable,Injection,,,,,3/4/1983,12/31/1985,1985,"indicated for lumbar, thoracic, cervical and total columnar myelography, coronary angiography and ventriculography, peripheral arteriography and ventriculography, peripheral arteriography, cerebral arteriography and CT scanning of the head and body",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Orudis,ketoprofen,Wyeth,NDA,18754,,,Capsule,Oral,,,,,3/16/1982,1/9/1986,1986,treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Nix,permethrin,Burroughs Wellcome,NDA,19435,,,Lotion,Topical,,,,,2/28/1985,3/31/1986,1986,single-application treatment of infestation with Pediculus humanus capitis (the head louse) and its nits (eggs),,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Intron-A,interferon alfa-2b,Schering,BLA,103132,,,Injectable,Injection,,,,,10/4/1983,6/4/1986,1986,treatment of patients 18 years of age or older with hairy cell leukemia,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Roferon-A,interferon alfa-2a,Hoffmann-La Roche,BLA,103145,,,Injectable,Injection,,,,,10/24/1984,6/4/1986,1986,treatment of patients 18 years of age or older with hairy cell leukemia,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Orthoclone OKT3,muromonab-CD3,Ortho Pharms,BLA,103135,,,Injectable,Injection,,,,,3/29/1984,6/19/1986,1986,treatment of acute allograft rejection in renal transplant patients,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,Biologic product assigned new license number and now referenced by BLA 103463
Buspar,buspirone hydrochloride,Bristol-Myers,NDA,18731,,,Tablet,Oral,,,,,12/15/1982,9/29/1986,1986,management of anxiety disorders or the short term relief of the symptoms of anxiety,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Tegison,etretinate,Hoffmann-La Roche,NDA,19369,,,Capsule,Oral,,,,,12/19/1984,9/30/1986,1986,"treatment of severe recalcitrant psoriasis, including erythrodermic and generalized pustular types",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Pepcid,famotidine,Merck Sharp & Dohme,NDA,19462,,,Tablet,Oral,,,,,6/24/1985,10/15/1986,1986,short term treatment of acute duodenal ulcer; maintenance therapy for duodenal ulcer patients at reduced dosage after healing of active ulcer; treatment of pathological hypersecretory conditions such as Zollinger-Ellison syndrome,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Tenex,guanfacine hydrochloride,Robins,NDA,19032,,,Tablet,Oral,,,,,9/14/1983,10/27/1986,1986,indicated in the management of hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Provocholine,methacholine chloride,Hoffmann-La Roche,NDA,19193,,,For Solution,Inhalation,,,,,12/29/1983,10/31/1986,1986,indicated for the diagnosis of bronchial airway hyperreactivity in subjects who do not have clinically apparent asthma,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cibacalcin,calcitonin (human),Ciba-Geigy,NDA,18470,,,Injectable,Injection,,,,,12/8/1980,10/31/1986,1986,treatment of symptomatic Paget’s disease of the bone,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Technescan Hida,technetium Tc-99m lidofenin,Merck Sharp & Dohme,NDA,18489,,,Injectable,Injection,,,,,5/6/1980,10/31/1986,1986,indicated as a hepatobiliary imaging agent,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Noroxin,norfloxacin,Merck Sharp & Dohme,NDA,19384,,,Tablet,Oral,,,,,1/14/1985,10/31/1986,1986,Treatment of adults with complicated and uncomplicated urinary tract infections caused by susceptible strains of microorganisms,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Lamprene,clofazimine,Ciba-Geigy,NDA,19500,,,Capsule,Oral,,,,,7/1/1985,12/15/1986,1986,"indicated in the treatment of lepromatous leprosy, including dapsone-resistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Enkaid,encainide hydrochloride,Bristol-Myers,NDA,18981,,,Capsule,Oral,,,,,1/13/1984,12/24/1986,1986,for the treatment of documented life threatening arrhythmias such as sustained ventricular tachycardia; for the treatment of patients with symptomatic nonsustained ventricular tachycardia and frequent premature ventricular complexes,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Atrovent,ipratropium bromide,Boehringer Ingelheim Pharmaceuticals,NDA,19085,,,"Aerosol, Metered",Inhalation,,,,,8/1/1983,12/29/1986,1986,"indicated as a bronchodilator for maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Alfenta,alfentanil hydrochloride,Janssen,NDA,19353,,,Injectable,Injection,,,,,12/26/1984,12/29/1986,1986,indicated as an analgesic adjunct given in incremental doses in the maintenance of anesthesia with barbituate/nitrous oxide/oxygen; as an analgesic administered by continuous infusion with nitrous oxide/oxygen in the maintenance of general anesthesia; as a primary anesthetic agent for the induction of anesthesia in patients undergoing general surgery in which endotracheal intubation and mechanical ventilation are required,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Exirel,pirbuterol acetate,Pfizer,NDA,19009,,,"Aerosol, Metered",Inhalation,,,,,4/21/1983,12/30/1986,1986,"indicated for the relief of acute bronchospasm in patients with chronic reversible obstructive airway disease (extrinsic asthma, intrinsic asthma and chronic bronchitis/emphysema)",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cyklokapron,tranexamic acid,KabiVitrum,NDA,19280,19281,,Tablet,Oral,Injectable,Injection,,,5/9/1984,12/30/1986,1986,indicated in patients with hemophilia for short term use (two to eight days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction,,Standard,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Brevibloc,esmolol hydrochloride,DuPont,NDA,19386,,,Injectable,Injection,,,,,1/8/1985,12/31/1986,1986,"indicated for the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable; also indicated in compensatory sinus tachycardia where, in the physician's judgment the rapid heart rate requires specific intervention",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Azactam,aztreonam,Squibb,NDA,50580,,,Injectable,Injection,,,,,12/29/1983,12/31/1986,1986,"treatment of the following infections caused by susceptible gram-negative microorganisms: Urinary Tract Infections (complicated and uncomplicated), Lower Respiratory Tract Infections, Septicemia, Skin and Skin Structure Infections, Intra-abdominal Infections, Gynecologic Infections; indicated for adjunctive therapy to surgery in the management of infections caused by susceptible organisms including abscesses, infections complicating hollow viscous perforations, cutaneous infections and infections of serous surfaces",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Unasyn,"sulbactam sodium, ampicillin sodium",Pfizer,NDA,50608,,,Injectable,Injection,,,,,4/18/1985,12/31/1986,1986,treatment of infections due to susceptible of designated microorganisms for: Lower Respiratory Tract Infections; Skin and Skin Structure Infections; Urinary Tract Infections; Intra-Abdominal Infections; Gynecological Infections,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ocufen,flurbiprofen sodium,Allergan,NDA,19404,,,Solution/Drops,Ophthalmic,,,,,12/19/1984,12/31/1986,1986,inhibition of intraoperative miosis,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Choletec,technetium Tc-99m mebrofenin,Squibb,NDA,18963,,,Injectable,Injection,,,,,3/4/1983,1/21/1987,1987,indicated as a hepatobiliary imaging agent,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Retrovir,zidovudine,Burroughs Wellcome,NDA,19655,,,Capsule,Oral,,,,,12/2/1986,3/19/1987,1987,for the management of certain adult patients with symptomatic HIV infection (AIDS and advanced ARC) who have a history of cytologically confirmed Pneumocystis carinii pneumonia (PCP) or an absolute CD4 (T4 helper/inducer) lymphocyte count of less than 200/mm in the peripheral blood before therapy is begun,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Elocon,mometasone furoate,Schering,NDA,19543,,,Ointment,Topical,,,,,11/8/1985,4/30/1987,1987,indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Hytrin,terazosin hydrochloride,Abbott Laboratories,NDA,19057,,,Tablet,Oral,,,,,10/3/1983,8/7/1987,1987,treatment of hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Mevacor,lovastatin,Merck Sharp & Dohme,NDA,19643,,,Tablet,Oral,,,,,11/14/1986,8/31/1987,1987,indicated as an adjunct to diet for the reduction of elevated total and LDL cholesterol levels in patients with primary hypercholesterolemia (Types IIa and IIb) when the response to diet and other nonpharmacological measures alone has been inadequate,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cipro,ciprofloxacin hydrochloride,Miles,NDA,19537,,,Tablet,Oral,,,,,3/25/1986,10/22/1987,1987,"indicated for treatment of infections caused by susceptible strains of designated microorganisms in the conditions listed: lower respiratory, skin and skin structure, bone and joint, and urinary tract infections; infectious diarrhea",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Activase,alteplase,Genentech,BLA,103172,,,Injectable,Injection,,,,,5/1/1986,11/13/1987,1987,"indicated for use in the management of acute myocardial infarction in adults for the lysis of thrombi obstructing coronary arteries, the improvement of ventricular function and reduction of the incidence of congestive heart failure",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Novantrone,mitoxantrone hydrochloride,Lederle,NDA,19297,,,Injectable,Injection,,,,,5/24/1984,12/23/1987,1987,"indicated in the initial therapy of acute nonlymphocytic leukemia (ANLL) in adults.  This category includes myelogenous, promyelocytic, monocytic, and erythroid acute leukemias",,Standard,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Parathar,teriparatide acetate,Rorer,NDA,19498,,,Injectable,Injection,,,,,6/28/1985,12/23/1987,1987,as a diagnostic agent to assist in establishing the diagnosis in patients presenting with evidence of hypocalcemia due to either hypoparathyroidism or pseudohypoparathyroidism,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Ucephan,"sodium phenylacetate, sodium benzoate",Kendall McGaw,NDA,19530,,,Solution,Oral,,,,,10/2/1985,12/23/1987,1987,"indicated as adjunctive therapy for the prevention and treatment of hyperammonemia in chronic management of urea cycle enzymopathies involving partial or complete deficiencies of carbamylphosphate synthetase, ornithine transcarbmylase, or argininosuccinate synthetase",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Rowasa,mesalamine,Reid-Rowell,NDA,19618,,,Enema,Rectal,,,,,6/13/1986,12/24/1987,1987,"treatment of active mild to moderate distal ulcerative colitis, proctosigmoiditis or proctitis",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Spectamine,iofetamine hydrochloride  I 123,Medi-Physics,NDA,19432,,,Injectable,Injection,,,,,2/12/1985,12/24/1987,1987,evaluation of nonlucunar stroke especially when used within 96 hours of the first onset of neurological deficit,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Prozac,fluoxetine hydrochloride,Eli Lilly,NDA,18936,,,Capsule,Oral,,,,,9/6/1983,12/29/1987,1987,treatment of depression,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Prinivil,lisinopril,Merck Sharp & Dohme,NDA,19558,,,Tablet,Oral,,,,,4/17/1986,12/29/1987,1987,treatment of hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cefmax,cefmenoxime hydrochloride,TAP Pharmaceuticals,NDA,50571,,,Injectable,Injection,,,,,6/28/1983,12/30/1987,1987,"indicated for the treatment of infections caused by susceptible strains of designated microorganisms in:  Lower respiratory infections, urinary tract infections",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Levatol,penbutolol sulfate,Eli Lilly,NDA,18976,,,Tablet,Oral,,,,,9/6/1983,12/30/1987,1987,treatment of mild-to-moderate arterial hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Deursil,ursodiol,Gipharmex,NDA,19594,,,Capsule,Oral,,,,,2/24/1986,12/31/1987,1987,"patients with radiolucent, non-calcified, gallbladder stones <20mm in greatest diameter in whom elective cholecystectomy would be undertaken except for the presence of increased surgical risk due to systemic disease or age",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Terazol 7,terconazole,Ortho,NDA,19579,,,Cream,Vaginal,,,,,5/22/1986,12/31/1987,1987,local treatment of vulvovaginal candidiasis (moniliasis),,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Corotrope,milrinone lactate,Sterling-Winthrop,NDA,19436,,,Injectable,Injection,,,,,6/27/1985,12/31/1987,1987,short-term  intravenous  treatment  of  patients  with  acute  decompensated  heart  failure,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Bactroban,mupirocin,Beecham,NDA,50591,,,Ointment,Topical,,,,,3/26/1984,12/31/1987,1987,"indicated for the topical treatment of impetigo due to: Staphylococcus aureus, beta hemolytic Streptococcus, and Streptococcus pyogenes",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Iopidine,apraclonidine hydrochloride,Alcon,NDA,19779,,,Solution/Drops,Ophthalmic,,,,,10/5/1987,12/31/1987,1987,to control or prevent postsurgical elevations in intraocular pressure that occur in patients after argon laser trabeculoplasty or argon laser iridotomy,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Rimadyl,carprofen,Hoffmann-La Roche,NDA,18550,,,Tablet,Oral,,,,,9/24/1980,12/31/1987,1987,"acute or long-term use for the relief of signs and symptoms of rheumatiod arthritis, osteoarthritis, and acute gouty arthritis",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Naftin,naftifine hydrochloride,Herbert Labs,NDA,19599,,,Cream,Topical,,,,,3/18/1986,2/29/1988,1988,indicated for the topical treatment of tinea cruris and tinea corporis,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Axid,nizatidine,Eli Lilly,NDA,19508,,,Capsule,Oral,,,,,5/15/1986,4/12/1988,1988,treatment of active duodenal ulcers for up to six weeks; maintenance therapy of duodenal ulcer patients at a reduced dosage after healing of an active duodenal ulcer,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Magnevist,gadopentetate dimeglumine,Berlex,NDA,19596,,,Injectable,Injection,,,,,8/19/1986,6/2/1988,1988,"using magnetic resonance imaging in adult patients, gadopentetate dimeglumine provides contrast enhancement in those intracranial lesions with abnormal vascularity or those thought to cause an abnormal blood brain barrier",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Voltaren,diclofenac sodium,Ciba,NDA,19201,,,"Tablet, Delayed Release",Oral,,,,,12/20/1983,7/28/1988,1988,"acute and chronic treatment of the signs and symptoms of rheumatoid arthritis, osteoarthritis, and ankylosing spondylitis",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Thiola,tiopronin,Mission Pharmacal,NDA,19569,,,Tablet,Oral,,,,,1/8/1986,8/11/1988,1988,"prevention of cystine (kidney) stone formation in patients with severe homozygous cystinuria with urinary cystine greater than 500 mg/day, who are resistant to treatment with conservative measures of high fluid intake, alkali and diet modification, or who have adverse reactions to d-penicillamine",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Photoplex,"avobenzone, padimate-O",Herbert Labs,NDA,19459,,,Lotion,Topical,,,,,4/8/1985,9/30/1988,1988,protection from the acute and long-term risks associated with UVA and UVB light exposure,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Sandostatin,octreotide acetate,Sandoz,NDA,19667,,,Injectable,Injection,,,,,2/9/1987,10/21/1988,1988,treatment of chronic and severe diarrhea and flushing episodes associated with carcinoid tumors and vasoactive intestinal peptide-secreting tumors (VIPomas),,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cardene,nicardipine hydrochloride,Syntex,NDA,19488,,,Capsule,Oral,,,,,11/20/1985,12/21/1988,1988,management of patients with chronic stable angina (effort-associated angina); management of hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ethamolin,ethanolamine oleate,Glaxo,NDA,19357,,,Injectable,Injection,,,,,9/14/1984,12/22/1988,1988,"treatment of patients with esophageal varices that have recently bled, to prevent rebleeding",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Cytotec,misoprostol,Searle,NDA,19268,,,Tablet,Oral,,,,,5/23/1984,12/27/1988,1988,"prevention of NSAID (nonsteroidal anti-inflammatory drugs, including aspirin)- induced gastric ulcers in patients at high risk of complications from a gastric ulcer, e.g., the elderly and patients with concomitant disease, as well as patients at high risk of developing gastric ulceration, such as patients with a history of ulcer",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Nimotop,nimodipine,Miles,NDA,18869,,,Capsule,Oral,,,,,9/17/1982,12/28/1988,1988,for the improvement of neurological deficits due to spasm following subarachnoid hemorrhage from ruptured congenital intracranial aneurysms in patients who are in good neurological condition post-ictus (e.g. Hunt and Hess Grades I-III),,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cartrol,carteolol hydrochloride,Abbott Laboratories,NDA,19204,,,Tablet,Oral,,,,,10/3/1984,12/28/1988,1988,management of hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
